User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
73b260d5ef6a9fa3b25292bb0bbcce56ca1a954828f305eb92fc58bb8638314a,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0
7f840a8559ed745a608888cf8f7e655a4e81c624e284ad8bf7d3c5c48617036c,3.0,4.0,4.0,4.0,4.0,4,4,4,4,4,1.0,0.0,0.0,0.0,0.0
1c8dd62dee00655e98cf398006ad2b1d4874a83726538d9b8428d4a4a279c781,4.0,3.0,3.0,3.0,3.0,3,3,3,3,3,-1.0,0.0,0.0,0.0,0.0
5d8f213826ec84721ae8d53a4b8a81f874c600796e6259db34a634a7cd475d26,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
91d845edc2c12e4b2f22755cd530ef286170ff71544b0547cc52d3e8bf20f5b6,2.0,2.0,1.0,2.0,4.0,3,4,4,3,4,1.0,2.0,3.0,1.0,0.0
97fefa3d4b06b90f6e4f1234e2fc8f80723da2889803734740b2be6c7df8a53e,3.0,2.0,2.0,2.0,3.0,4,4,4,4,5,1.0,2.0,2.0,2.0,2.0
1ac947df9f17833e851ff8d4f8cf968550e2c0242c4ea4aee8441ed479b864b6,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
eed3f28e80d06cd95f9e721fd73a0752b979e7e7898c651f1314abd7aea60e12,2.0,3.0,2.0,3.0,4.0,3,4,4,4,4,1.0,1.0,2.0,1.0,0.0
59d9a580d4b5fb22d504c5bd61e0476469df87b6eb96e24cf13a4195fea1a59f,4.0,4.0,2.0,3.0,4.0,4,5,4,5,4,0.0,1.0,2.0,2.0,0.0
5cd809cff2e1d9c867ba96d225cd3004a7adf5611c710d617483a41ef19136b3,2.0,3.0,3.0,2.0,3.0,4,4,4,4,4,2.0,1.0,1.0,2.0,1.0
4e4d4eb33166f3a89ad40fc1981aeb309039d6de5621f07262f4b1a6f59764fe,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0
9f64606d4797f1f806f3fcd6ec1d366264d68fa15d3b9224a09ff694ad8cd3e4,3.0,3.0,3.0,3.0,4.0,3,5,4,4,5,0.0,2.0,1.0,1.0,1.0
98bae42b3cb863ff9679366e46384b988f6a5293642f1764984f5b18be453ffd,4.0,4.0,4.0,4.0,3.0,5,4,5,5,4,1.0,0.0,1.0,1.0,1.0
0957312adb11c8315861810f9051b7acba3b7c268e0a9a1b5dae19d2ef240e45,2.0,2.0,1.0,2.0,3.0,4,4,4,3,4,2.0,2.0,3.0,1.0,1.0
4d03853cfb59f7f13419652f5ec9c3c9f320a3e893ac9d9a20a4f817f0f368ab,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0
f300cd7b55a017a541596b877687c31d22407be177d2545ab79a422a9bb7816d,4.0,4.0,4.0,4.0,4.0,5,4,5,4,4,1.0,0.0,1.0,0.0,0.0
fa7bb37245538638990e551d1357893df5dcce3bc3f288f01bb685999142065d,3.0,3.0,3.0,4.0,4.0,5,4,4,4,5,2.0,1.0,1.0,0.0,1.0
50dacae1e31b89436e801f3adef53d2692079724b30affe3adec367afa084af5,5.0,5.0,5.0,5.0,5.0,4,4,4,4,4,-1.0,-1.0,-1.0,-1.0,-1.0
53d5533b7449c98b7461a52e18de51f3ed201710d395e112e239d2c966071fbd,4.0,2.0,3.0,2.0,2.0,5,5,4,4,4,1.0,3.0,1.0,2.0,2.0
5353788b73c3e4508a452879022f47e098386e6d2e6eff4139de2786f4fe1933,4.0,3.0,2.0,3.0,3.0,5,5,5,4,4,1.0,2.0,3.0,1.0,1.0
b1dedcc51812b4e5abc6ab0a32f672adfe5b0f45356ba3204a80870670913065,4.0,3.0,3.0,3.0,4.0,4,4,4,4,4,0.0,1.0,1.0,1.0,0.0
70b9d290554a16e20923f4e241abfefe6642567ceac436414ad64be110ef46c0,5.0,4.0,3.0,4.0,3.0,5,5,4,5,5,0.0,1.0,1.0,1.0,2.0
d9205be9d55165619624497d5c5fcfe280dc1b93026e17aa505c0f436a03454f,4.0,4.0,3.0,4.0,4.0,4,4,4,4,4,0.0,0.0,1.0,0.0,0.0
f7f2e69bfee6b76ec0af000708a0939145c8f089cc7f9468702774b383f34150,5.0,3.0,3.0,3.0,4.0,5,5,5,5,5,0.0,2.0,2.0,2.0,1.0
922cab9ac22a3a502d8938f461e4f3f3b4e133e604131dac76f97778514e56d5,4.0,2.0,2.0,2.0,3.0,5,5,5,5,5,1.0,3.0,3.0,3.0,2.0
0cbd40696a76e08d4bf308d8294a4d543282fc0cf63fe7a33b8ee4a37cb995ca,5.0,4.0,4.0,4.0,4.0,4,4,4,4,4,-1.0,0.0,0.0,0.0,0.0
5145f94fab039a97724915db265d6c08d16a1be932bacda3f0a09ea78cb7f3c0,4.0,3.0,2.0,3.0,5.0,5,5,5,5,5,1.0,2.0,3.0,2.0,0.0
88eb3d1ceba5097dab72754a3ab2843f6b14ef0d4056880c9721b18eadb418eb,5.0,5.0,5.0,5.0,5.0,4,4,5,5,5,-1.0,-1.0,0.0,0.0,0.0
3a2232c1d5eadddf0dbf22026f98f0eb723add4065c5c8f6bc6b595571fdd744,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0
3c7f2e85a334b6aafb1805904660fc634941b3dcaa560291d91187f9e0561398,4.0,4.0,3.0,4.0,4.0,5,5,5,5,5,1.0,1.0,2.0,1.0,1.0
96de24a49bbedef7aebf3aeb02dd38329d4a8c49ea2ed5cd2bbc5a9fef2e21dc,4.0,4.0,2.0,2.0,2.0,5,4,5,5,5,1.0,0.0,3.0,3.0,3.0
78c95e2f4d242cf917843fe931337675018abe2cf76817b540f7e25aa01d3872,4.0,4.0,3.0,3.0,2.0,4,4,3,3,3,0.0,0.0,0.0,0.0,1.0
eccb8dde3767db22520c53af0cb2e3930893576e68777ba76d96eba1160ebc26,3.0,3.0,2.0,3.0,3.0,5,4,4,4,4,2.0,1.0,2.0,1.0,1.0
4e1d598b6f89c9f8d512aeff3e48d6d699ab3aa59a3470c6ac61b091b648715c,5.0,4.0,4.0,4.0,4.0,4,4,4,4,4,-1.0,0.0,0.0,0.0,0.0
363709e57a446441c0454d6b03f8ad8019260d1026667b2bad1530fb734d5437,4.0,3.0,4.0,3.0,3.0,5,4,3,4,3,1.0,1.0,-1.0,1.0,0.0
