User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
efcd30b4ac4ebc997a8d66f938a6a5e345bcd62491dffcd249d5b31a0f3e4097,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
e5e4f6b969c520f38ac61c5a33013b1497de74817f42b6676cc5b33c34d31bde,4.0,2.0,3.0,3.0,3.0,4,4,3,4,4,0.0,2.0,0.0,1.0,1.0
f2c843d1a4b9aaaadf5ddc280b33546b12e1283bc6624345dce3dc4fd047e100,3.0,3.0,2.0,3.0,2.0,4,4,3,4,3,1.0,1.0,1.0,1.0,1.0
e74b0490e3856157fe7918b46a0c0093d76c411de7ea5cc0b16d6d61a823e14f,5.0,3.0,2.0,2.0,2.0,5,5,5,5,4,0.0,2.0,3.0,3.0,2.0
491341648e1373e7b0793958f13c96a0c3375bdfd52bb4eeb1d3dc6cc77a9334,3.0,2.0,2.0,2.0,3.0,4,4,4,4,4,1.0,2.0,2.0,2.0,1.0
39390544fc45e21bcb7b92131a23494607d1c3c519b4bac3fc8d667b53f570f1,5.0,5.0,5.0,5.0,5.0,4,4,4,4,4,-1.0,-1.0,-1.0,-1.0,-1.0
1ab746830d8276d221816b32feeb6f6b896c672cfe4c6d565428bf730e792e46,4.0,3.0,4.0,3.0,3.0,4,4,4,4,4,0.0,1.0,0.0,1.0,1.0
7e0ae8f85bab0eebeed0c6d5c9089b399ac3e20f355abc60594c99e881582837,4.0,3.0,2.0,3.0,3.0,4,4,3,4,4,0.0,1.0,1.0,1.0,1.0
eb0151963f3d26c8a1084cd663e63011d34a776c1f98459ce574491a0b2e7995,3.0,2.0,2.0,2.0,2.0,4,5,4,4,3,1.0,3.0,2.0,2.0,1.0
941b0171f5fae0503b4a98d93357ae38d98420e2f591230ac9aacf60d68fe8d4,4.0,3.0,3.0,3.0,3.0,5,5,5,5,5,1.0,2.0,2.0,2.0,2.0
12b054483caed13b666a3968efd60f62807f3c56a94d38368bd71fe68f3775d2,4.0,3.0,2.0,4.0,4.0,4,4,4,5,4,0.0,1.0,2.0,1.0,0.0
6191bd3900cd99b15817ffa5b0b7316dc8e8b6dac627e8b1b06d8c89602f90f7,2.0,2.0,2.0,1.0,2.0,5,5,5,3,3,3.0,3.0,3.0,2.0,1.0
1846bbd4ca46bef1d932f8e40b2bf68679d7b26f4872d2a9c327359fb3368220,2.0,1.0,1.0,1.0,1.0,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0
c6132040ebed9c538c4f81488d7116178ce3b458a3634555956c5d707e9e2eb0,2.0,4.0,4.0,3.0,4.0,4,3,4,3,5,2.0,-1.0,0.0,0.0,1.0
5ffa541db812606e6ede19cc727e0efef77afaa2ad6c2b0b96aa5ec4737cb8c1,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
018a2c95a2cb01a262b398a2e2854080701b3b92a1997b8917314a8da670a9e9,4.0,4.0,4.0,4.0,4.0,3,4,4,4,4,-1.0,0.0,0.0,0.0,0.0
3226644c5fdcc2a1759e01a45f8959579996a6d70b51d76f331c0b8ee6a8d0df,4.0,4.0,4.0,4.0,4.0,3,3,3,3,3,-1.0,-1.0,-1.0,-1.0,-1.0
30338d6ce76910f1205e317b893995930af01f61fe84fa6112af868b4c63ef30,4.0,2.0,2.0,2.0,3.0,3,3,3,3,3,-1.0,1.0,1.0,1.0,0.0
3b971cf1a2ff0d1a674b2fcc81473eeb2889f33f2a670254604c251ed52a0219,3.0,4.0,4.0,4.0,4.0,4,4,4,4,4,1.0,0.0,0.0,0.0,0.0
2036564622236eb690165133e64b7ecd31e509f01672118e171105e5436ef8e2,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
7f0f6acfe433220d15d1c2673b07f143059500d2e6b4389d77a0e92fb8a790a7,3.0,3.0,2.0,2.0,4.0,5,4,5,5,5,2.0,1.0,3.0,3.0,1.0
ab6166c9b84b59a547e29a795103d77d2d4acaea69d5658da2e3a5d67e33e4a8,2.0,2.0,2.0,2.0,3.0,4,4,4,5,5,2.0,2.0,2.0,3.0,2.0
b5a53e4247eeb8407835e2df1020d91c4758902e1ede373ef0480d7b9241d210,3.0,2.0,3.0,1.0,2.0,4,4,4,4,4,1.0,2.0,1.0,3.0,2.0
bfe3370705ad87adcc2ca45375262b34395085f5fefd508b53c97dffbde70203,4.0,4.0,3.0,3.0,4.0,4,5,4,4,4,0.0,1.0,1.0,1.0,0.0
b397d0be0340c34fc8980f8dc9c19f5b4d66a8344b393428884c29cff0a325f0,2.0,2.0,1.0,2.0,2.0,3,2,2,2,3,1.0,0.0,1.0,0.0,1.0
6db190e6a5a26ba23f65d9ad643725df8d32ca88d5bb2136bfa7bcb42e5c0ee2,5.0,5.0,5.0,5.0,5.0,3,3,3,5,5,-2.0,-2.0,-2.0,0.0,0.0
1c59700e8d606c9bd7ff14a8dbf2d43ceaedaffcd5dba2f8b79d245ea6b9d436,3.0,2.0,2.0,3.0,2.0,5,5,5,5,5,2.0,3.0,3.0,2.0,3.0
0e577523b17366e0be04fd6d8d0b3ba941e38b97bb4d3a8b95584d0342e82007,3.0,3.0,3.0,3.0,4.0,4,5,4,4,5,1.0,2.0,1.0,1.0,1.0
897ec107352dbd1bbcfcf271c36ff89e955de3e47c3a9bcbf974df3782c3b7d5,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
99516e7e08dc5ce67d5adc2363f5d58bd05cd8d3a39dc7768727a7d65349cf70,3.0,3.0,3.0,4.0,4.0,5,3,4,3,4,2.0,0.0,1.0,-1.0,0.0
