User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
40ddbe64bfee63ee192bb5abb1651882d52a41db62f8328409f1a1d6ccd2ad26,4.0,3.0,2.0,2.0,2.0,4,5,4,4,4,0.0,2.0,2.0,2.0,2.0
9e50eba694332f0fde0488d84d59f3bd1186c819b8ed83eea55fa77cdb1ac876,3.0,3.0,3.0,3.0,3.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0
d9e5f0d309ab3a9cd3899f396afe0d70cc177a294a8d6e411567e893e06c1f2b,4.0,4.0,2.0,3.0,3.0,4,5,4,4,4,0.0,1.0,2.0,1.0,1.0
4ccfbe43062dba4ad91ed94c83276797b3a3f7c65c25ef357276fa3095507ad2,3.0,3.0,3.0,3.0,2.0,4,4,4,4,4,1.0,1.0,1.0,1.0,2.0
6658272f77e86225a063ae2f076739f65ce3fa3f6402d066cc09821301c0892c,4.0,2.0,2.0,2.0,2.0,4,4,4,4,4,0.0,2.0,2.0,2.0,2.0
d8ee994eb60d75a81f64848a32759c273f651094ed724b1a80493c4eec4a2e99,3.0,3.0,2.0,4.0,4.0,4,5,4,4,4,1.0,2.0,2.0,0.0,0.0
b2cf4793a184f3b212ce3cb32d19a4db8595e45415080249d57886186f708a60,3.0,4.0,4.0,4.0,5.0,3,4,4,3,4,0.0,0.0,0.0,-1.0,-1.0
ef02346d2c1e245ec057bc38358a0102d2f059763f4b21f219a50f9fe452d51d,3.0,2.0,1.0,1.0,2.0,4,5,4,3,4,1.0,3.0,3.0,2.0,2.0
9b129d9220f37182036a2f1ef1ec965dbf0d36f995e1f720d601ee6797181028,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
7bcf528bfd2da875f5796f16cbbb3af975d48d59c7def7019bdd01edcf4d737e,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
0f8b45a5d23b364256f22c6ae746037c143db956152305e4f57eb9f585cde3de,2.0,2.0,2.0,2.0,2.0,5,4,4,3,3,3.0,2.0,2.0,1.0,1.0
96ed0d34db592a2804a26309d5cdc352aa2a11319cf678d9350d50baaf0f4822,3.0,2.0,2.0,2.0,2.0,4,4,4,4,4,1.0,2.0,2.0,2.0,2.0
b5b8c081e5e5911eccdfd2923949bc94a900e91b1059608c1bebe6a3655f833b,5.0,3.0,4.0,4.0,4.0,5,5,5,5,5,0.0,2.0,1.0,1.0,1.0
b23639fa7a81c015bcab2324d703540c5ff03bd7ec93e1fb05004df801f4730c,3.0,3.0,3.0,3.0,3.0,4,4,3,4,3,1.0,1.0,0.0,1.0,0.0
7af4c3d858356632a0f388697e5e452f10e12b25c9a27fa73f0314b32b4fb65e,5.0,3.0,3.0,3.0,3.0,4,4,4,4,4,-1.0,1.0,1.0,1.0,1.0
d56fec8aa1493f116e2269d6cb4d1e3ef571c0853a4667a55130bec1b72c77f9,4.0,5.0,5.0,5.0,5.0,5,5,5,5,5,1.0,0.0,0.0,0.0,0.0
91d414ada4388ee109326ed35a1d2c7e4f27e208418cdea918866f4237e0db00,5.0,5.0,5.0,5.0,5.0,3,3,3,3,3,-2.0,-2.0,-2.0,-2.0,-2.0
9d904792aa7052be27491e468f2a5bbea6aeee8c6a52b2832e1692d5238d11c2,3.0,3.0,3.0,4.0,4.0,4,4,4,4,4,1.0,1.0,1.0,0.0,0.0
9890a92f85226f212ad4c63077cf56272d185fb1436489547a77589f6af91c43,4.0,3.0,3.0,3.0,4.0,4,4,4,4,4,0.0,1.0,1.0,1.0,0.0
